,Day,Month,Year,Latitud,Longitud,Sierra,Hierro,PIT,LC_capture,Ancho_capture,Plastron_capture,Peso_capture,lcclass,Birth_year,Release_year,release,Stage,Sex,Age_release,Age_capture,mod.ID,dup.ID,Sex_capture,Sex_stage,Sex_retro
61,29,5,2003,-1.22068,-89.41834,14024,24,42005564,85.2,84.3,70,,80,1970.5,1975,0,Adulta,Macho,4.5,32.5,4,FALSE,Macho,Macho,Macho
59,1,9,2000,-1.36947,-89.69805,14024,24,42005564,85.4,85,60.3,,80,1970.5,1975,0,Adulta,Macho,4.5,29.5,4,FALSE,Macho,Macho,Macho
60,27,7,2002,-1.22046,-89.41549,14024,24,42005564,85.6,85.5,60,57,80,1970.5,1975,0,Adulta,Macho,4.5,31.5,4,FALSE,Macho,Macho,Macho
62,14,5,1975,,,14025,25,52528792,26.9,27.5,,1.8,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,5,FALSE,Indeterminada,Indeterminada,Hembra
63,10,6,1976,,,14025,,52528792,32.1,33.6,,3.2,30,1970.5,1975,0,Juvenil,,4.5,5.5,5,FALSE,Indeterminada,Indeterminada,Hembra
64,11,4,1977,,,14025,,52528792,38.1,39.5,,5.8,30,1970.5,1975,0,Juvenil,,4.5,6.5,5,FALSE,Indeterminada,Indeterminada,Hembra
65,3,3,1978,,,14025,,52528792,43.4,45.2,,8.5,40,1970.5,1975,0,Juvenil,,4.5,7.5,5,FALSE,Indeterminada,Indeterminada,Hembra
66,20,2,1979,,,14025,,52528792,47,50,,12,40,1970.5,1975,0,Juvenil,,4.5,8.5,5,FALSE,Indeterminada,Indeterminada,Hembra
67,6,11,1986,,,14025,,52528792,61,64.4,45.6,54.5,60,1970.5,1975,0,Adulta,Macho,4.5,15.5,5,FALSE,Macho,Hembra,Hembra
68,24,2,1989,,,14025,,52528792,69,72.2,51,37,60,1970.5,1975,0,Adulta,Macho,4.5,18.5,5,FALSE,Macho,Hembra,Hembra
70,2,6,2003,-1.37339,-89.68157,,25,52528792,72.3,75,52.8,36,70,1970.5,1975,0,Adulta,Hembra,4.5,32.5,5,FALSE,Hembra,Hembra,Hembra
69,27,7,2002,-1.37089,-89.68426,25,25,52528792,72.5,75.5,53,41.5,70,1970.5,1975,0,Adulta,Hembra,4.5,31.5,5,FALSE,Hembra,Hembra,Hembra
71,7,9,2007,-1.3731,-89.68175,,25,52528792,73.4,74.6,53,,,1970.5,1975,0,Adulta,Hembra,4.5,36.5,5,FALSE,Hembra,Hembra,Hembra
72,14,5,1975,,,14026,26,52551543,25.5,26,,1.5,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,6,FALSE,Indeterminada,Indeterminada,Macho
73,3,3,1978,,,14026,,52551543,39.3,42.3,,7,30,1970.5,1975,0,Juvenil,,4.5,7.5,6,FALSE,Indeterminada,Indeterminada,Macho
74,11,11,1980,,,14026,,52551543,51.3,53.5,,3,50,1970.5,1975,0,Juvenil,,4.5,9.5,6,FALSE,Indeterminada,Indeterminada,Macho
75,25,10,1985,,,14026,,52551543,58.5,62.1,44.5,16,50,1970.5,1975,0,Adulta,,4.5,14.5,6,FALSE,,Macho,Macho
76,27,11,1994,,,14026,,52551543,73.6,79.6,57,46,70,1970.5,1975,0,Adulta,Macho,4.5,23.5,6,FALSE,Macho,Macho,Macho
77,31,8,2000,-1.37124,-89.68334,14026,,52551543,81.9,87.4,61.8,42.7,80,1970.5,1975,0,Adulta,Macho,4.5,29.5,6,FALSE,Macho,Macho,Macho
78,30,5,2003,-1.22326,-89.40833,,26,52551543,83.1,88.2,63,,80,1970.5,1975,0,Adulta,Macho,4.5,32.5,6,FALSE,Macho,Macho,Macho
79,6,6,2010,-1.37302,-89.68324,,86,52551543,83.2,,,,80,1970.5,1975,0,Adulta,,4.5,39.5,6,FALSE,,Macho,Macho
80,14,5,1975,,,14027,,,21.8,22,,0.9,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,7,FALSE,Indeterminada,Indeterminada,Macho
81,17,1,1976,,,14027,,,27.8,28.9,,2.5,20,1970.5,1975,0,Juvenil,,4.5,5.5,7,FALSE,Indeterminada,Indeterminada,Macho
82,11,4,1977,,,14027,,,31.6,32.8,,2.6,30,1970.5,1975,0,Juvenil,,4.5,6.5,7,FALSE,Indeterminada,Indeterminada,Macho
83,3,3,1978,,,14027,,,43.2,45.3,,8,40,1970.5,1975,0,Juvenil,,4.5,7.5,7,FALSE,Indeterminada,Indeterminada,Macho
84,20,2,1979,,,14027,,,44,45.5,,8,40,1970.5,1975,0,Juvenil,,4.5,8.5,7,FALSE,Indeterminada,Indeterminada,Macho
85,14,5,1981,,,14027,,,57,56,,5,50,1970.5,1975,0,Adulta,,4.5,10.5,7,FALSE,,Macho,Macho
86,10,5,1982,,,14027,,,59.6,60.2,,10,50,1970.5,1975,0,Adulta,,4.5,11.5,7,FALSE,,Macho,Macho
87,18,12,1985,,,14027,,,71.4,78.2,52.8,22,70,1970.5,1975,0,Adulta,Macho,4.5,14.5,7,FALSE,Macho,Macho,Macho
88,6,11,1986,,,14027,,,74.3,75.1,54,37,70,1970.5,1975,0,Adulta,Macho,4.5,15.5,7,FALSE,Macho,Macho,Macho
89,4,12,1990,,,14027,,,80.5,82.3,58,48.2,80,1970.5,1975,0,Adulta,Macho,4.5,19.5,7,FALSE,Macho,Macho,Macho
90,25,11,1994,,,14027,,,83.3,84,60,67,80,1970.5,1975,0,Adulta,Macho,4.5,23.5,7,FALSE,Macho,Macho,Macho
92,17,1,1976,,,14028,,,20.3,23.4,,1,20,1970.5,1975,0,Juvenil,,4.5,5.5,8,FALSE,Indeterminada,Indeterminada,Macho
91,14,5,1975,,,14028,,,26.9,27.6,,1.8,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,8,FALSE,Indeterminada,Indeterminada,Macho
94,3,3,1978,,,14028,,,36,38,,4.5,30,1970.5,1975,0,Juvenil,,4.5,7.5,8,FALSE,Indeterminada,Indeterminada,Macho
93,11,4,1977,,,14028,,,40.1,41.3,,6.2,40,1970.5,1975,0,Juvenil,,4.5,6.5,8,FALSE,Indeterminada,Indeterminada,Macho
96,11,11,1980,,,14028,,,46.3,47.7,,18,40,1970.5,1975,0,Juvenil,,4.5,9.5,8,FALSE,Indeterminada,Indeterminada,Macho
97,14,5,1981,,,14028,,,51.5,53,,4,50,1970.5,1975,0,Juvenil,,4.5,10.5,8,FALSE,Indeterminada,Indeterminada,Macho
95,20,2,1979,,,14028,,,57,52,,14,50,1970.5,1975,0,Adulta,,4.5,8.5,8,FALSE,,Macho,Macho
99,24,2,1986,,,14028,,,69.2,73,50.6,31.4,60,1970.5,1975,0,Adulta,,4.5,15.5,8,FALSE,,Macho,Macho
98,7,2,1985,,,14028,,,77.7,77.1,,48,70,1970.5,1975,0,Adulta,,4.5,14.5,8,FALSE,,Macho,Macho
100,10,7,1987,,,14028,,,81.4,81.9,51.6,52,80,1970.5,1975,0,Adulta,Macho,4.5,16.5,8,FALSE,Macho,Macho,Macho
101,24,2,1989,,,14028,,,83.6,82.5,59,34,80,1970.5,1975,0,Adulta,Macho,4.5,18.5,8,FALSE,Macho,Macho,Macho
102,23,6,1990,,,14028,,,83.7,83,59.5,,80,1970.5,1975,0,Adulta,,4.5,19.5,8,FALSE,,Macho,Macho
103,13,6,1991,,,14028,,,84,84,60,32.8,80,1970.5,1975,0,Adulta,Macho,4.5,20.5,8,FALSE,Macho,Macho,Macho
104,14,5,1975,,,14029,29,42081060,25.9,26.2,,1.5,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,9,FALSE,Indeterminada,Indeterminada,Macho
105,10,6,1976,,,14029,,42081060,31.8,32.5,,2.8,30,1970.5,1975,0,Juvenil,,4.5,5.5,9,FALSE,Indeterminada,Indeterminada,Macho
106,11,4,1977,,,14029,,42081060,37.8,39.9,,5.2,30,1970.5,1975,0,Juvenil,,4.5,6.5,9,FALSE,Indeterminada,Indeterminada,Macho
107,21,7,1978,,,14029,,42081060,45.3,45.8,,10,40,1970.5,1975,0,Juvenil,,4.5,7.5,9,FALSE,Indeterminada,Indeterminada,Macho
108,20,2,1979,,,14029,,42081060,47.2,48.5,,13,40,1970.5,1975,0,Juvenil,,4.5,8.5,9,FALSE,Indeterminada,Indeterminada,Macho
109,11,11,1980,,,14029,,42081060,54.4,54.8,,13.5,50,1970.5,1975,0,Adulta,,4.5,9.5,9,FALSE,,Macho,Macho
110,25,10,1985,,,14029,,42081060,75.8,75.5,56,,70,1970.5,1975,0,Adulta,,4.5,14.5,9,FALSE,,Macho,Macho
111,6,11,1986,,,14029,,42081060,78.9,76.8,57,24,70,1970.5,1975,0,Adulta,Macho,4.5,15.5,9,FALSE,Macho,Macho,Macho
112,7,11,1988,,,14029,,42081060,82.6,81.6,59.3,,80,1970.5,1975,0,Adulta,Macho,4.5,17.5,9,FALSE,Macho,Macho,Macho
113,13,11,1989,,,14029,,42081060,84.2,84.4,60.9,,80,1970.5,1975,0,Adulta,Macho,4.5,18.5,9,FALSE,Macho,Macho,Macho
115,30,8,2000,-1.36893,-89.67471,14029,29,42081060,84.8,84,61.7,,80,1970.5,1975,0,Adulta,Macho,4.5,29.5,9,FALSE,Macho,Macho,Macho
114,27,11,1994,,,14029,,42081060,86.7,84.6,61.2,65,80,1970.5,1975,0,Adulta,Macho,4.5,23.5,9,FALSE,Macho,Macho,Macho
116,27,7,2002,-1.37175,-89.68316,14029,29,42081060,87,85,62.5,55.5,80,1970.5,1975,0,Adulta,Macho,4.5,31.5,9,FALSE,Macho,Macho,Macho
118,17,1,1976,,,14030,,,25.5,28.1,,2,20,1970.5,1975,0,Juvenil,,4.5,5.5,10,FALSE,Indeterminada,Indeterminada,Hembra
117,14,5,1975,,,14030,,,29.4,31.2,,2.5,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,10,FALSE,Indeterminada,Indeterminada,Hembra
124,10,5,1982,,,14030,,,40.2,41.3,,8.5,40,1970.5,1975,0,Juvenil,,4.5,11.5,10,FALSE,Indeterminada,Indeterminada,Hembra
119,11,4,1977,,,14030,,,43.03,47.02,,7.7,40,1970.5,1975,0,Juvenil,,4.5,6.5,10,FALSE,Indeterminada,Indeterminada,Hembra
120,3,3,1978,,,14030,,,49.2,52.4,,12,40,1970.5,1975,0,Juvenil,,4.5,7.5,10,FALSE,Indeterminada,Indeterminada,Hembra
121,20,2,1979,,,14030,,,53.5,59,,16,50,1970.5,1975,0,Juvenil,,4.5,8.5,10,FALSE,Indeterminada,Indeterminada,Hembra
123,16,11,1981,,,14030,,,56.8,58,,16,50,1970.5,1975,0,Adulta,,4.5,10.5,10,FALSE,,Hembra,Hembra
126,24,2,1986,,,14030,,,61.5,63,46.9,16.5,60,1970.5,1975,0,Adulta,,4.5,15.5,10,FALSE,,Hembra,Hembra
127,7,11,1988,,,14030,,,64.8,68.3,49.5,26,60,1970.5,1975,0,Adulta,Macho,4.5,17.5,10,FALSE,Macho,Hembra,Hembra
128,24,2,1989,,,14030,,,65.2,69,49.5,28,60,1970.5,1975,0,Adulta,Hembra,4.5,18.5,10,FALSE,Hembra,Hembra,Hembra
122,11,11,1980,,,14030,,,65.5,69,,11.5,60,1970.5,1975,0,Adulta,,4.5,9.5,10,FALSE,,Hembra,Hembra
130,21,11,1994,,,14030,,,66.9,70.1,50.4,39,60,1970.5,1975,0,Adulta,Hembra,4.5,23.5,10,FALSE,Hembra,Hembra,Hembra
129,12,6,1991,,,14030,,,69,71,53,32.7,60,1970.5,1975,0,Adulta,,4.5,20.5,10,FALSE,,Hembra,Hembra
125,18,12,1985,,,14030,,,86,92.8,54.5,63.3,80,1970.5,1975,0,Adulta,Macho,4.5,14.5,10,FALSE,Macho,Hembra,Hembra
132,11,4,1977,,,14031,,42025871,27.03,29.01,,1.9,20,1970.5,1975,0,Juvenil,,4.5,6.5,11,FALSE,Indeterminada,Indeterminada,Macho
131,14,5,1975,,,14031,31,42025871,28.9,29.9,,2,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,11,FALSE,Indeterminada,Indeterminada,Macho
133,20,2,1979,,,14031,,42025871,34.6,36.5,,3.47,30,1970.5,1975,0,Juvenil,,4.5,8.5,11,FALSE,Indeterminada,Indeterminada,Macho
134,2,11,1982,,,14031,,42025871,52.8,54.6,,10,50,1970.5,1975,0,Juvenil,,4.5,11.5,11,FALSE,Indeterminada,Indeterminada,Macho
