ch	age_release	length	weight	release_cohort
0000001111	5.5	29.9	2.18	2019
0000001110	6.5	26.6	1.668	2019
0000001101	5.5	27.4	1.996	2019
0000001110	5.5	29.3	2.033	2019
0000001000	5.5	27.3	1.602	2019
0000001101	5.5	27.3	1.693	2019
0000001110	5.5	27.5	1.805	2019
0000001110	5.5	27.9	1.966	2019
0000001110	5.5	24.7	1.203	2019
0000001000	5.5	25.3	1.325	2019
0000001110	5.5	29.9	2.265	2019
0000001100	5.5	25.5	1.396	2019
0000001110	6.5	29.2	2.203	2019
0000001010	5.5	24.8	1.237	2019
0000001100	5.5	29.2	2.046	2019
0000001010	5.5	29.6	2.16	2019
0000001111	5.5	25.1	1.293	2019
0000001110	5.5	27.9	1.865	2019
0000001010	6.5	26.3	1.739	2019
0000001111	5.5	28.8	2.071	2019
0000001110	5.5	29.9	2.206	2019
0000001111	5.5	28.5	1.921	2019
0000001001	6.5	27.4	1.829	2019
